Name,threePercent,twoPercent,FT%,Off_Rebound,Def_Rebound
Warriors 1,50,52,70.6,8,2
Warriors 2,44.2,46.6,83.3,3,25
Warriors 3,49,51.6,93.3,4,44
Warriors 4,50,40,79,5,7
Warriors 5,32.7,51.8,93.1,5,72
Warriors 6,25,20,79,1,4
Warriors 7,22.2,44.4,66.7,8,67
Warriors 8,30.6,44.7,62.5,7,24
Warriors 9,36.8,47.3,87.1,14,41
Warriors 10,50,71.6,64.9,13,18
Warriors 11,41.4,43.4,80,2,19
Warriors 12,50,41.8,79.2,1,11
Warriors 13,50,61.4,65.1,24,28
Warriors 14,48.4,51.3,53.8,12,26
Warriors 15,35,46.1,79.7,4,31
Lakers 1,32.2,39.6,55.6,10,44
Lakers 2,33.3,55.2,83.3,4,11
Lakers 3,32.5,37.4,91.7,4,19
Lakers 4,50,57.8,59.5,21,47
Lakers 5,39.6,45.7,67.7,4,28
Lakers 6,32.4,46.6,63.6,7,35
Lakers 7,36.6,52,71.1,10,68
Lakers 8,30.3,47.3,73.8,7,47
Lakers 9,25,62.5,68.3,24,40
Lakers 10,29.4,28.6,50,2,3
Lakers 11,42.9,45.5,50,9,36
Lakers 12,36.7,42.6,83.3,6,28
Lakers 13,33.3,27.3,100,5,10
Lakers 14,50,57.9,20,18,17
Lakers 15,50,35.7,100,14,17
